timestamp,open,high,low,close,adj_close,volume,warning
2025-12-01 00:00:00+00:00,9.235,9.297,9.177,9.295,9.295,18727043,
2025-12-02 00:00:00+00:00,9.33,9.482,9.313,9.431,9.431,18695936,
2025-12-03 00:00:00+00:00,9.477,9.5,9.302,9.316,9.316,29772975,
2025-12-04 00:00:00+00:00,9.431,9.482,9.327,9.482,9.482,19478546,
2025-12-05 00:00:00+00:00,9.53,9.632,9.456,9.46,9.46,18249119,
2025-12-08 00:00:00+00:00,9.42,9.49,9.281,9.49,9.49,14742312,
2025-12-09 00:00:00+00:00,9.48,9.572,9.468,9.524,9.524,40693482,
2025-12-10 00:00:00+00:00,9.493,9.615,9.474,9.601,9.601,17007701,
2025-12-11 00:00:00+00:00,9.606,9.819,9.55,9.778,9.778,20495653,
2025-12-12 00:00:00+00:00,9.851,9.896,9.631,9.632,9.632,20362633,
2025-12-15 00:00:00+00:00,9.783,9.878,9.774,9.873,9.873,20763044,
2025-12-16 00:00:00+00:00,9.842,9.992,9.803,9.817,9.817,28885720,
2025-12-17 00:00:00+00:00,9.872,9.965,9.844,9.871,9.871,23541623,
2025-12-18 00:00:00+00:00,9.834,9.999,9.823,9.995,9.995,25690802,
2025-12-19 00:00:00+00:00,9.97,10.038,9.886,9.97,9.97,57042702,
2025-12-22 00:00:00+00:00,9.964,10.038,9.917,9.939,9.939,21241654,
2025-12-23 00:00:00+00:00,9.95,10.026,9.845,10.002,10.002,20022685,
2025-12-24 00:00:00+00:00,9.923,10.022,9.923,9.989,9.989,5100182,
2025-12-29 00:00:00+00:00,9.96,10.036,9.95,9.966,9.966,23050496,
2025-12-30 00:00:00+00:00,9.94,10.156,9.932,10.126,10.126,17490811,
2025-12-31 00:00:00+00:00,10.036,10.104,10.03,10.07,10.07,7146353,
2026-01-02 00:00:00+00:00,10.05,10.256,10.004,10.252,10.252,20908016,
2026-01-05 00:00:00+00:00,10.28,10.368,10.132,10.326,10.326,23942247,
2026-01-06 00:00:00+00:00,10.346,10.486,10.244,10.31,10.31,17099629,
2026-01-07 00:00:00+00:00,10.3,10.302,10.09,10.13,10.13,19240559,
2026-01-08 00:00:00+00:00,10.054,10.248,10.024,10.212,10.212,15703238,
2026-01-09 00:00:00+00:00,10.28,10.294,10.162,10.252,10.252,18183508,
2026-01-12 00:00:00+00:00,10.156,10.34,9.964,10.338,10.338,25834422,
2026-01-13 00:00:00+00:00,10.44,10.538,10.36,10.484,10.484,24318798,
2026-01-14 00:00:00+00:00,10.5,10.584,10.422,10.49,10.49,26070448,
2026-01-15 00:00:00+00:00,10.502,10.628,10.452,10.54,10.54,17231658,
2026-01-16 00:00:00+00:00,10.496,10.536,10.412,10.536,10.536,20480380,
2026-01-19 00:00:00+00:00,10.324,10.518,10.266,10.494,10.494,18586501,
2026-01-20 00:00:00+00:00,10.42,10.454,10.238,10.328,10.328,17150121,
2026-01-21 00:00:00+00:00,10.3,10.402,10.108,10.324,10.324,20347939,
2026-01-22 00:00:00+00:00,10.45,10.632,10.41,10.632,10.632,21867211,
2026-01-23 00:00:00+00:00,10.594,10.598,10.444,10.478,10.478,15641297,
2026-01-26 00:00:00+00:00,10.5,10.7,10.486,10.654,10.654,17158462,
2026-01-27 00:00:00+00:00,10.72,10.806,10.674,10.788,10.788,23512125,
2026-01-28 00:00:00+00:00,10.846,10.846,10.512,10.598,10.598,20062963,
2026-01-29 00:00:00+00:00,10.69,10.83,10.58,10.626,10.626,21696111,
2026-01-30 00:00:00+00:00,10.73,10.858,10.658,10.832,10.832,8536487,Data is limited by one year as you have free subscription
